Image Number, Size, Density, Response, Time, Correct?
3,2, -1, 1, 1.365675926208496, 0
2,1, -1, 1, 1.750452995300293, 0
1,0, -1, 1, 0.8908190727233887, 0
5,1, -1, 1, 0.7928509712219238, 0
4,0, -1, 1, 0.8165280818939209, 0
6,2, -1, 1, 0.8289251327514648, 0
7,0, -1, 1, 0.8770201206207275, 0
16,0, 1, 1, 1.217484951019287, 0
17,1, 1, 0, 0.7580277919769287, 1
29,1, 0, 1, 1.0674610137939453, 1
15,2, 1, 1, 0.8385009765625, 0
14,1, 1, 0, 0.9710547924041748, 1
28,0, 0, 1, 0.946969747543335, 1
10,0, -1, 0, 0.9556410312652588, 1
38,1, 0, 0, 1.0689280033111572, 0
39,2, 0, 1, 1.233989953994751, 1
11,1, -1, 1, 0.6551051139831543, 0
13,0, 1, 1, 0.9011859893798828, 0
12,2, -1, 1, 0.7212817668914795, 0
23,1, 1, 1, 1.1993389129638672, 0
37,0, 0, 0, 0.8851501941680908, 0
36,2, 0, 1, 1.843419075012207, 1
22,0, 1, 0, 1.166280746459961, 1
34,0, 0, 1, 1.3220670223236084, 1
20,1, 1, 1, 1.4709930419921875, 0
21,2, 1, 0, 1.4413061141967773, 1
35,1, 0, 0, 2.198945999145508, 0
31,0, 0, 0, 1.4566941261291504, 0
25,0, 0, 1, 1.8732919692993164, 1
19,0, 1, 1, 1.5503242015838623, 0
18,2, 1, 1, 0.8498580455780029, 0
24,2, 1, 0, 0.8000597953796387, 1
30,2, 0, 0, 1.6628317832946777, 0
26,1, 0, 0, 1.4505071640014648, 0
32,1, 0, 0, 1.5665740966796875, 0
33,2, 0, 0, 2.50325608253479, 0
27,2, 0, 0, 2.5495080947875977, 0
40,0, 0, 0, 1.8666439056396484, 0
41,1, 0, 1, 1.9844400882720947, 1
9,2, -1, 1, 0.7123703956604004, 0
8,1, -1, 0, 0.5920999050140381, 1
42,2, 0, 0, 2.61313796043396, 0
